aaa	aortic_aneurysm|aneurysm|cardiovascular_disease|disorder|physical_condition|condition|state
aalii	tree|woody_plant|vascular_plant|plant|organism|living_thing
aardvark	placental|mammal|vertebrate|chordate|animal|organism|living_thing
aardwolf	hyena|canine|carnivore|placental|mammal|vertebrate|chordate|animal
aarp	association|organization|social_group
aas	associate_degree|academic_degree|award|symbol|signal|communication
aave	american_english|english|west_germanic|germanic|indo-european|natural_language|language|communication
aba	overgarment|garment|clothing|consumer_goods|covering|commodity|artifact
abaca	banana|herb|vascular_plant|plant|organism|living_thing
abacus	tablet|slab|block|artifact
abalone	gastropod|mollusk|invertebrate|animal|organism|living_thing
abamp	current_unit|electromagnetic_unit|unit_of_measurement|definite_quantity
abampere	current_unit|electromagnetic_unit|unit_of_measurement|definite_quantity
abandon	unrestraint|indiscipline|trait
abandonment	rejection|act|event
abarticulation	dislocation|injury|ill_health|pathological_state|physical_condition|condition|state
abasement	humiliation|shame|dishonor|standing|status|state
abashment	embarrassment|shame|feeling|state
abasia	disability_of_walking|disability|unfitness|ill_health|pathological_state|physical_condition|condition|state
abatement	moderation|decrease|change_of_magnitude|change|action|act|event
abatis	line_of_defense|defensive_structure|structure|artifact
abator	person|organism|living_thing
abattis	line_of_defense|defensive_structure|structure|artifact
abattoir	building|structure|artifact
abaya	robe|garment|clothing|consumer_goods|covering|commodity|artifact
abbacy	jurisdiction|district|region|location
abbe	abbot|superior|religious|religious_person|person|organism|living_thing
abbess	superior|religious|religious_person|person|organism|living_thing
abbey	church|place_of_worship|building|structure|artifact
abbot	superior|religious|religious_person|person|organism|living_thing
abbreviation	form|word|language_unit
abbreviator	redact|editor|skilled_worker|worker|person|organism|living_thing
abc	fundamentals|principle|law|concept|idea|content|cognition
abcoulomb	charge_unit|electromagnetic_unit|unit_of_measurement|definite_quantity
abcs	fundamentals|principle|law|concept|idea|content|cognition
abdication	resignation|speech_act|act|event
abdicator	quitter|person|organism|living_thing
abdomen	body_part
abdominal	skeletal_muscle|muscle|contractile_organ|organ|body_part
abdominocentesis	centesis|puncture|activity|act|event
abdominoplasty	plastic_surgery|operation|medical_procedure|procedure|activity|act|event
abdominousness	fatness|bodily_property|property
abducens	cranial_nerve|nerve|fiber_bundle|nervous_tissue|animal_tissue|tissue|body_part
abducent	cranial_nerve|nerve|fiber_bundle|nervous_tissue|animal_tissue|tissue|body_part
abduction	capture|felony|crime|transgression|wrongdoing|activity|act|event
abductor	skeletal_muscle|muscle|contractile_organ|organ|body_part
abecedarian	novice|unskilled_person|person|organism|living_thing
abecedarius	poem|literary_composition|writing|written_communication|communication
abele	poplar|angiospermous_tree|tree|woody_plant|vascular_plant|plant|organism|living_thing
abelia	shrub|woody_plant|vascular_plant|plant|organism|living_thing
abelmoschus	dilleniid_dicot_genus|dicot_genus|genus|taxonomic_group|biological_group
abelmosk	mallow|shrub|woody_plant|vascular_plant|plant|organism|living_thing
abenaki	algonquian|indian|amerindian|person_of_color|person|organism|living_thing
aberrance	abnormality|physical_condition|condition|state
aberrancy	abnormality|physical_condition|condition|state
aberrant	anomaly|person|organism|living_thing
aberration	mental_disorder|disorder|physical_condition|condition|state
abetalipoproteinemia	genetic_disease|hypobetalipoproteinemia|lipidosis|disease|hypolipoproteinemia|metabolic_disorder|illness|disorder|ill_health|physical_condition|pathological_state|condition|state
abetment	encouragement|approval|message|communication
abettal	encouragement|approval|message|communication
abetter	accessory|criminal|principal|wrongdoer|bad_person|person|organism|living_thing
abettor	accessory|criminal|principal|wrongdoer|bad_person|person|organism|living_thing
abeyance	inaction|state
abfarad	capacitance_unit|electromagnetic_unit|unit_of_measurement|definite_quantity
abhenry	inductance_unit|electromagnetic_unit|unit_of_measurement|definite_quantity
abhorrence	hate|disgust|emotion|dislike|feeling|state
abhorrer	signer|person|organism|living_thing
abidance	continuance|activity|act|event
abience	urge|motivation
abies	gymnosperm_genus|genus|taxonomic_group|biological_group
ability	quality
abiogenesis	organic_phenomenon|natural_phenomenon|phenomenon|process
abiogenist	believer|supporter|advocate|person|organism|living_thing
abiotrophy	degeneration|transformation|change|happening|event
abjection	humiliation|shame|dishonor|standing|status|state
abjuration	disavowal|denial|speech_act|act|event
abjurer	person|organism|living_thing
abkhas	circassian|white|person|organism|living_thing
abkhasian	circassian|white|person|organism|living_thing
abkhaz	circassian|white|person|organism|living_thing
abkhazian	circassian|caucasian|natural_language|language|communication
ablactation	bodily_process|organic_process|process
ablation	operation|medical_procedure|procedure|activity|act|event
ablative	oblique|case|grammatical_category|class|collection
ablaut	vowel|phone|language_unit
ableism	discrimination|social_control|group_action|event|act
ablepharia	birth_defect|anomaly|defect|abnormality|imperfection|physical_condition|state|condition
ablism	discrimination|social_control|group_action|event|act
abls	bachelor's_degree|academic_degree|award|symbol|signal|communication
ablution	ritual|wash|practice|work|activity|act|event
abm	guided_missile|missile|weapon|rocket|instrument|vehicle|device|conveyance|instrumentality|artifact
abnaki	algonquian|indian|amerindian|person_of_color|person|organism|living_thing
abnegation	denial|speech_act|act|event
abnegator	donor|benefactor|good_person|person|organism|living_thing
abnormalcy	physical_condition|condition|state
abnormality	physical_condition|condition|state
abo	australian|ethnic_group|inhabitant|person|organism|living_thing
abocclusion	disorder|physical_condition|condition|state
abode	address|geographic_point|point|location
abohm	resistance_unit|electromagnetic_unit|unit_of_measurement|definite_quantity
abolishment	termination|change_of_state|change|action|act|event
abolition	termination|change_of_state|change|action|act|event
abolitionism	doctrine|belief|content|cognition
abolitionist	reformer|disputant|person|organism|living_thing
abomasum	stomach|internal_organ|organ|body_part
abomination	person|organism|living_thing
abominator	hater|person|organism|living_thing
abor	kamarupan|tibeto-burman|sino-tibetan|natural_language|language|communication
aboriginal	australian|ethnic_group|inhabitant|person|organism|living_thing
aborigine	australian|ethnic_group|inhabitant|person|organism|living_thing
abort	termination|change_of_state|change|action|act|event
aborticide	induced_abortion|abortion|termination|change_of_state|change|action|act|event
abortifacient	drug|agent|substance
abortion	termination|change_of_state|change|action|act|event
abortionist	doctor|medical_practitioner|health_professional|professional|adult|person|organism|living_thing
abortus	fetus|vertebrate|chordate|animal|organism|living_thing
aboulia	psychological_state|condition|state
above	section|writing|music|written_communication|auditory_communication|communication
abracadabra	gibberish|nonsense|message|communication
abrachia	abnormality|physical_condition|condition|state
abradant	material|substance
abrader	tool|implement|instrumentality|artifact
abramis	fish_genus|genus|taxonomic_group|biological_group
abrasion	wound|injury|ill_health|pathological_state|physical_condition|condition|state
abrasive	material|substance
abrasiveness	disagreeableness|pleasantness|quality
abreaction	purge|cleaning|improvement|change_of_state|change|action|act|event
abridgement	summary|statement|message|communication
abridger	redact|editor|skilled_worker|worker|person|organism|living_thing
abridgment	summary|statement|message|communication
abrocoma	mammal_genus|genus|taxonomic_group|biological_group
abrocome	rodent|placental|mammal|vertebrate|chordate|animal|organism|living_thing
abrogation	cancellation|nullification|change_of_state|change|action|act|event
abrogator	authority|person|organism|living_thing
abronia	caryophylloid_dicot_genus|dicot_genus|genus|taxonomic_group|biological_group
abruption	break|delay|inactivity|act|event
abruptness	discourtesy|manner|demeanor|trait
abs	plastic|solid
abscess	symptom|evidence|information|cognition
abscissa	cartesian_coordinate|coordinate|number|definite_quantity
abscission	shedding|organic_process|process
absconder	fugitive|criminal|principal|wrongdoer|bad_person|person|organism|living_thing
abscondment	desertion|withdrawal|departure|act|event
abseil	descent|motion|change|action|act|event
abseiler	descender|mover|traveler|person|organism|living_thing
absence	lack|need|condition|state
absentee	traveler|person|organism|living_thing
absenteeism	absence|nonattendance|group_action|event|act
absentmindedness	preoccupation|cognitive_state|psychological_state|condition|state
absinth	liqueur|alcohol|beverage|drug_of_abuse|food|liquid|drug|substance|fluid|agent
absinthe	wormwood|subshrub|shrub|woody_plant|vascular_plant|plant|organism|living_thing
absolute	concept|idea|content|cognition
absoluteness	changelessness|quality
absolution	condition|state
absolutism	dominance|condition|state
absolutist	disciple|follower|person|organism|living_thing
absolver	pardoner|cleric|clergyman|spiritual_leader|leader|person|organism|living_thing
absorbance	density|compactness|solidity|consistency|property
absorbate	sorbate|material|substance
absorbency	permeability|porosity|consistency|property
absorbent	sorbent|material|substance
absorber	absorbent_material|sorbent|material|substance
absorptance	coefficient|constant|number|definite_quantity
absorption	sorption|natural_process|process
absorptivity	physical_property|property
abstainer	religious_person|person|organism|living_thing
abstemiousness	meagerness|insufficiency|amount|magnitude|property
abstention	self-discipline|discipline|trait
abstinence	self-discipline|discipline|trait
abstinent	person|organism|living_thing
abstract	concept|idea|content|cognition
abstractedness	preoccupation|cognitive_state|psychological_state|condition|state
abstracter	writer|communicator|person|organism|living_thing
abstraction	concept|idea|content|cognition
abstractionism	genre|art|creation|artifact
abstractionist	painter|artist|creator|person|organism|living_thing
abstractness	immateriality|quality
abstractor	writer|communicator|person|organism|living_thing
abstruseness	incomprehensibility|quality
abstrusity	wisdom|content|cognition
absurd	situation|state
absurdity	nonsense|message|communication
absurdness	nonsense|message|communication
abudefduf	fish_genus|genus|taxonomic_group|biological_group
abulia	psychological_state|condition|state
abundance	quantity|amount|magnitude|property
abuse	disrespect|message|communication
abuser	wrongdoer|bad_person|person|organism|living_thing
abutilon	dilleniid_dicot_genus|dicot_genus|genus|taxonomic_group|biological_group
abutment	point|location
abutter	landowner|holder|owner|person|organism|living_thing
abvolt	potential_unit|electromagnetic_unit|unit_of_measurement|definite_quantity
abwatt	power_unit|electromagnetic_unit|unit_of_measurement|definite_quantity
abysm	chasm|opening|space|location|amorphous_shape|shape
abyss	chasm|opening|space|location|amorphous_shape|shape
abyssinian	domestic_cat|domestic_animal|cat|animal|feline|organism|carnivore|living_thing|placental|mammal|vertebrate|chordate
acacia	tree|woody_plant|vascular_plant|plant|organism|living_thing
academe	world|class|people
academia	world|class|people
academic	educator|professional|adult|person|organism|living_thing
academician	honoree|recipient|acquirer|person|organism|living_thing
academicianship	position|occupation|activity|act|event
academicism	traditionalism|orthodoxy|unoriginality|quality
academism	traditionalism|orthodoxy|unoriginality|quality
academy	secondary_school|school|educational_institution|institution|organization|social_group
acadian	french_canadian|canadian|north_american|american|inhabitant|person|organism|living_thing
acalypha	rosid_dicot_genus|dicot_genus|genus|taxonomic_group|biological_group
acantha	projection|convex_shape|solid|shape
acanthaceae	asterid_dicot_family|dicot_family|family|taxonomic_group|biological_group
acanthion	craniometric_point|landmark|structure|body_part
acanthisitta	bird_genus|genus|taxonomic_group|biological_group
acanthisittidae	bird_family|family|taxonomic_group|biological_group
acanthocephala	phylum|taxonomic_group|biological_group
acanthocephalan	worm|invertebrate|animal|organism|living_thing
acanthocereus	caryophylloid_dicot_genus|dicot_genus|genus|taxonomic_group|biological_group
acanthocybium	fish_genus|genus|taxonomic_group|biological_group
acanthocyte	red_blood_cell|blood_cell|somatic_cell|cell|living_thing
acanthocytosis	blood_disease|blood_dyscrasia|dyscrasia|ill_health|pathological_state|physical_condition|condition|state
acantholysis	skin_disease|disease|illness|ill_health|pathological_state|physical_condition|condition|state
acanthoma	tumor|growth|illness|ill_health|pathological_state|physical_condition|condition|state
acanthophis	reptile_genus|genus|taxonomic_group|biological_group
acanthopterygian	teleost_fish|bony_fish|fish|aquatic_vertebrate|vertebrate|chordate|animal|organism
acanthopterygii	animal_order|order|taxonomic_group|biological_group
acanthoscelides	arthropod_genus|genus|taxonomic_group|biological_group
acanthosis	skin_disease|disease|illness|ill_health|pathological_state|physical_condition|condition|state
acanthuridae	fish_family|family|taxonomic_group|biological_group
acanthurus	fish_genus|genus|taxonomic_group|biological_group
acanthus	herb|vascular_plant|plant|organism|living_thing
acapnia	physical_condition|condition|state
acaracide	pesticide|chemical|material|substance
acardia	abnormality|physical_condition|condition|state
acariasis	infestation|fullness|condition|state
acaricide	pesticide|chemical|material|substance
acarid	mite|acarine|arachnid|arthropod|invertebrate|animal|organism|living_thing
acaridae	arthropod_family|family|taxonomic_group|biological_group
acaridiasis	infestation|fullness|condition|state
acarina	animal_order|order|taxonomic_group|biological_group
acarine	arachnid|arthropod|invertebrate|animal|organism|living_thing
acariosis	infestation|fullness|condition|state
acarophobia	zoophobia|simple_phobia|phobia|anxiety_disorder|mental_disorder|disorder|physical_condition|condition
acarus	mite|acarine|arachnid|arthropod|invertebrate|animal|organism|living_thing
acaryote	cell|living_thing
acatalectic	line_of_poetry|line|text|writing|written_communication|communication
acataphasia	brain_disorder|nervous_disorder|disorder|physical_condition|condition|state
acathexia	physical_condition|condition|state
acathexis	libidinal_energy|psychic_energy|motivation
acc	command|military_unit|organization|social_group
accelerando	tempo|musical_time|time
acceleration	change|happening|event
accelerator	pedal|lever|bar|implement|instrumentality|artifact
accelerometer	measuring_instrument|instrument|device|instrumentality|artifact
accent	pronunciation|utterance|auditory_communication|communication
accenting	action|act|event
accentor	oscine|passerine|bird|vertebrate|chordate|animal|organism|living_thing
accentuation	stress|prosody|manner_of_speaking|expressive_style|communication
acceptability	satisfactoriness|quality
acceptableness	satisfactoriness|quality
acceptance	situation|state
acceptation	acceptance|situation|state
acceptor	compound|chemical|material|substance
access	right|concept|idea|content|cognition
accessary	criminal|principal|wrongdoer|bad_person|person|organism|living_thing
accessibility	convenience|suitability|quality
accession	increase|process
accessory	clothing|consumer_goods|covering|commodity|artifact
acciaccatura	note|musical_notation|notation|writing|written_communication|communication
accidence	morphology|grammar|descriptive_linguistics|linguistics|science|discipline|knowledge_domain|content
accident	mishap|misfortune|trouble|happening|event
accidental	musical_notation|notation|writing|written_communication|communication
accipiter	bird_genus|genus|taxonomic_group|biological_group
accipitridae	bird_family|family|taxonomic_group|biological_group
accipitriformes	bird_of_prey|bird|vertebrate|chordate|animal|organism|living_thing
acclaim	approval|message|communication
acclamation	approval|message|communication
acclimation	adaptation|organic_process|process
acclimatisation	adaptation|organic_process|process
acclimatization	adaptation|organic_process|process
acclivity	slope|geological_formation
accolade	symbol|signal|communication
accommodation	settlement|agreement|statement|message|communication
accommodator	benefactor|good_person|person|organism|living_thing
accompaniment	happening|event
accompanist	musician|performer|entertainer|person|organism|living_thing
accompanyist	musician|performer|entertainer|person|organism|living_thing
accomplice	assistant|worker|person|organism|living_thing
accomplishment	action|act|event
accord	agreement|speech_act|act|event
accordance	giving|sharing|distribution|act|event
accordion	free-reed_instrument|keyboard_instrument|wind_instrument|musical_instrument|device|instrumentality|artifact
accordionist	musician|performer|entertainer|person|organism|living_thing
accouchement	parturition|organic_process|process
accoucheur	specialist|doctor|medical_practitioner|health_professional|professional|adult|person|organism
accoucheuse	nurse|health_professional|professional|adult|person|organism|living_thing
account	relationship|state
accountability	responsibility|trustworthiness|trait
accountancy	occupation|activity|act|event
accountant	businessperson|capitalist|person|organism|living_thing
accountantship	position|occupation|activity|act|event
accounting	explanation|statement|message|communication
accouterment	clothing|consumer_goods|covering|commodity|artifact
accoutrement	clothing|consumer_goods|covering|commodity|artifact
accreditation	certification|authorization|management|social_control|group_action|event|act
accretion	increase|process
accroides	natural_resin|resin|plant_product|organic_compound|plant_material|compound|material|chemical|substance
accrual	increase|change_of_magnitude|change|action|act|event
accruement	increase|change_of_magnitude|change|action|act|event
acculturation	content|cognition
accumulation	increase|change_of_magnitude|change|action|act|event
accumulator	register|memory_device|device|instrumentality|artifact
accuracy	quality
accusal	charge|pleading|statement|message|communication
accusation	charge|pleading|statement|message|communication
accusative	oblique|case|grammatical_category|class|collection
accused	defendant|litigant|party|person|organism|living_thing
accuser	disputant|person|organism|living_thing
ace	playing_card|card|paper|material|substance
acebutolol	beta_blocker|blocker|medicine|drug|agent|substance
acedia	mortal_sin|sin|transgression|wrongdoing|activity|act|event
acephalia	abnormality|physical_condition|condition|state
acephalism	abnormality|physical_condition|condition|state
acephaly	abnormality|physical_condition|condition|state
acer	dicot_genus|genus|taxonomic_group|biological_group
aceraceae	dicot_family|family|taxonomic_group|biological_group
acerbity	bitterness|taste_property|property
acerola	berry|edible_fruit|fruit|produce|reproductive_structure|food|plant_organ|solid|plant_part|natural_object
acervulus	fruiting_body|plant_organ|plant_part|natural_object
acetabulum	socket|cavity|structure|body_part
acetal	organic_compound|compound|chemical|material|substance
acetaldehyde	aldehyde|organic_compound|compound|chemical|material|substance
acetaldol	aldol|organic_compound|compound|chemical|material|substance
acetamide	amide|organic_compound|compound|chemical|material|substance
acetaminophen	analgesic|medicine|drug|agent|substance
acetanilid	analgesic|medicine|drug|agent|substance
acetanilide	analgesic|medicine|drug|agent|substance
acetate	salt|compound|chemical|material|substance
acetin	acetate|salt|compound|chemical|material|substance
acetone	ketone|solvent|organic_compound|medium|compound|substance|chemical|material
acetonemia	symptom|evidence|information|cognition
acetonuria	symptom|evidence|information|cognition
acetophenetidin	analgesic|medicine|drug|agent|substance
acetphenetidin	analgesic|medicine|drug|agent|substance
acetum	acetic_acid|carboxylic_acid|acid|compound|chemical|material|substance
acetyl	acyl
acetylation	acylation|chemical_process|natural_process|process
acetylcholine	neurotransmitter|neurochemical|organic_compound|compound|chemical|material|substance
acetylene	aliphatic_compound|organic_compound|compound|chemical|material|substance
achaean	greek|european|inhabitant|person|organism|living_thing
achaian	greek|european|inhabitant|person|organism|living_thing
ache	pain|symptom|evidence|information|cognition
achene	fruit|reproductive_structure|plant_organ|plant_part|natural_object
acherontia	arthropod_genus|genus|taxonomic_group|biological_group
acheta	arthropod_genus|genus|taxonomic_group|biological_group
achievability	possibility|being|state
achievement	action|act|event
achiever	person|organism|living_thing
achillea	herb|vascular_plant|plant|organism|living_thing
achimenes	flower|angiosperm|spermatophyte|vascular_plant|plant|organism|living_thing
aching	pain|symptom|evidence|information|cognition
achira	canna|herb|vascular_plant|plant|organism|living_thing
achlorhydria	disorder|physical_condition|condition|state
achoerodus	fish_genus|genus|taxonomic_group|biological_group
acholia	disorder|physical_condition|condition|state
achomawi	hokan|indian|amerindian|person_of_color|person|organism|living_thing
achondrite	rock|natural_object
achondroplasia	genetic_disease|disease|illness|ill_health|pathological_state|physical_condition|condition|state
achondroplasty	genetic_disease|disease|illness|ill_health|pathological_state|physical_condition|condition|state
achras	dicot_genus|genus|taxonomic_group|biological_group
achromasia	complexion|color|visual_property|property
achromaticity	visual_property|property
achromatin	body_substance|substance
achromatism	visual_property|property
achromia	colorlessness|visual_property|property
achromycin	antibacterial|medicine|drug|agent|substance
achylia	disorder|physical_condition|condition|state
acid	compound|chemical|material|substance
acidemia	blood_disease|blood_dyscrasia|dyscrasia|ill_health|pathological_state|physical_condition|condition|state
acidification	natural_process|process
acidimetry	volumetric_analysis|quantitative_analysis|measurement|chemical_analysis|activity|analysis|act|investigation|event|work
acidity	sour|taste|sensation|perception|basic_cognitive_process|process|cognition
acidophil	bacteria|microorganism|organism|living_thing
acidophile	bacteria|microorganism|organism|living_thing
acidophilus	probiotic|lactobacillus|bacteria|eubacteria|microorganism|moneran|organism|living_thing
acidosis	pathology|ill_health|pathological_state|physical_condition|condition|state
acidulousness	sour|taste|sensation|perception|basic_cognitive_process|process|cognition
acinonyx	mammal_genus|genus|taxonomic_group|biological_group
acinos	asterid_dicot_genus|dicot_genus|genus|taxonomic_group|biological_group
acinus	drupelet|drupe|fruit|reproductive_structure|plant_organ|plant_part|natural_object
acipenser	fish_genus|genus|taxonomic_group|biological_group
acipenseridae	fish_family|family|taxonomic_group|biological_group
ackee	edible_fruit|fruit|produce|reproductive_structure|food|plant_organ|solid|plant_part|natural_object
acknowledgement	acceptance|situation|state
acknowledgment	message|communication
aclant	headquarters|military_unit|organization|social_group
acme	degree|state
acne	inflammatory_disease|skin_disease|disease|illness|ill_health|pathological_state|physical_condition|condition|state
acnidosporidia	class|taxonomic_group|biological_group
acocanthera	dicot_genus|genus|taxonomic_group|biological_group
acokanthera	dicot_genus|genus|taxonomic_group|biological_group
acolyte	clergyman|holy_order|spiritual_leader|status|leader|state|person|organism|living_thing
aconite	poisonous_plant|plant|organism|living_thing
aconitum	magnoliid_dicot_genus|dicot_genus|genus|taxonomic_group|biological_group
acoraceae	monocot_family|family|taxonomic_group|biological_group
acorea	abnormality|physical_condition|condition|state
acorn	fruit|reproductive_structure|plant_organ|plant_part|natural_object
acorus	monocot_genus|genus|taxonomic_group|biological_group
acousma	hallucination|delusion|psychological_state|condition|state
acoustic	remedy|medicine|drug|agent|substance
acoustician	physicist|scientist|person|organism|living_thing
acousticophobia	simple_phobia|phobia|anxiety_disorder|mental_disorder|disorder|physical_condition|condition|state
acoustics	physics|natural_science|science|discipline|knowledge_domain|content|cognition
acquaintance	information|cognition
acquaintanceship	relationship|state
acquiescence	acceptance|situation|state
acquirement	ability|cognition
acquirer	person|organism|living_thing
acquiring	act|event
acquisition	acquiring|act|event
acquisitiveness	greed|desire|tendency|disposition|property
acquittal	final_judgment|judgment|due_process|group_action|event|act
acquittance	legal_document|document|writing|written_communication|communication
acrasiomycetes	class|taxonomic_group|biological_group
acre	area_unit|unit_of_measurement|definite_quantity
acreage	area|extent|magnitude|property
acres	real_property|property|possession
acridid	grasshopper|orthopterous_insect|insect|arthropod|invertebrate|animal|organism|living_thing
acrididae	arthropod_family|family|taxonomic_group|biological_group
acridity	smell|sensation|perception|basic_cognitive_process|process|cognition
acridness	bitterness|taste_property|property
acridotheres	bird_genus|genus|taxonomic_group|biological_group
acrilan	acrylic|synthetic_resin|polymer|resin|compound|organic_compound|chemical|material|substance
acrimony	disagreeableness|disposition|nature|trait
acris	amphibian_genus|genus|taxonomic_group|biological_group
acroanaesthesia	regional_anesthesia|anesthesia|physical_condition|condition|state
acroanesthesia	regional_anesthesia|anesthesia|physical_condition|condition|state
acrobat	athlete|contestant|person|organism|living_thing
acrobates	mammal_genus|genus|taxonomic_group|biological_group
acrobatics	gymnastics|sport|diversion|activity|act|event
acrocarp	moss|bryophyte|nonvascular_organism|organism|living_thing
acrocarpus	rosid_dicot_genus|dicot_genus|genus|taxonomic_group|biological_group
acrocephalus	bird_genus|genus|taxonomic_group|biological_group
acrocephaly	birth_defect|anomaly|defect|abnormality|imperfection|physical_condition|state|condition
acroclinium	asterid_dicot_genus|dicot_genus|genus|taxonomic_group|biological_group
acrocomia	monocot_genus|genus|taxonomic_group|biological_group
acrocyanosis	cyanosis|symptom|evidence|information|cognition
acrodont	animal|organism|living_thing
acrogen	plant|organism|living_thing
acrolein	aldehyde|organic_compound|compound|chemical|material|substance
acromegalia	hypertrophy|dysplasia|abnormality|physical_condition|condition|state
acromegaly	hypertrophy|dysplasia|abnormality|physical_condition|condition|state
acromicria	abnormality|physical_condition|condition|state
acromikria	abnormality|physical_condition|condition|state
acromion	process|body_part
acromphalus	abnormality|physical_condition|condition|state
acromyotonia	myotonia|tonicity|tension|condition|state
acronym	form|word|language_unit
acrophobia	simple_phobia|phobia|anxiety_disorder|mental_disorder|disorder|physical_condition|condition|state
acrophony	naming|speech_act|act|event
acropolis	bastion|stronghold|defensive_structure|structure|artifact
acropora	coelenterate_genus|genus|taxonomic_group|biological_group
acrosome	process|body_part
acrostic	literary_composition|writing|written_communication|communication
acrostichum	fern_genus|genus|taxonomic_group|biological_group
acrylamide	amide|organic_compound|compound|chemical|material|substance
acrylate	salt|compound|chemical|material|substance
acrylic	synthetic_resin|polymer|resin|compound|organic_compound|chemical|material|substance
acrylonitrile	nitrile|organic_compound|compound|chemical|material|substance
act	legal_document|document|writing|written_communication|communication
actaea	magnoliid_dicot_genus|dicot_genus|genus|taxonomic_group|biological_group
acth	hormone|secretion|liquid_body_substance|body_substance|substance
actias	arthropod_genus|genus|taxonomic_group|biological_group
actifed	nasal_decongestant|antihistamine|decongestant|medicine|drug|agent|substance
actin	simple_protein|protein|macromolecule|organic_compound|molecule|compound|chemical|material|substance
actinaria	animal_order|order|taxonomic_group|biological_group
acting	performing_arts|activity|humanistic_discipline|act|discipline|event|knowledge_domain|content|cognition
actinia	coelenterate_genus|genus|taxonomic_group|biological_group
